Motivación;NUNCA ES TARDE PARA SOÑAR
Películas;EL SEÑOR DE LOS ANILLOS
Comida;PAELLA VALENCIANA
Ciudades;BARCELONA ES PRECIOSA
Animales;EL ELEFANTE AFRICANO
Deportes;FUTBOL SALA
Profesiones;INGENIERO DE SOFTWARE
Refranes;NO POR MUCHO MADRUGAR AMANECE MAS TEMPRANO
Películas;REGRESO AL FUTURO
Música;LA VIDA ES BELLA
Comida;TORTILLA DE PATATAS
Lugares;TORRE EIFFEL DE PARIS
Animales;LEON DE LA SABANA
Deportes;BALONCESTO PROFESIONAL
Profesiones;MEDICO DE FAMILIA
Inventos;TELEFONO MOVIL
Países;ESTADOS UNIDOS DE AMERICA
Naturaleza;MONTAÑAS NEVADAS
Películas;STAR WARS LA GUERRA DE LAS GALAXIAS
Comida;PIZZA MARGARITA
Música;GUITARRA ESPAÑOLA
Deportes;NATACION SINCRONIZADA
Profesiones;PROFESOR DE MATEMATICAS
Refranes;QUIEN MUCHO ABARCA POCO APRIETA
Animales;DELFIN DEL OCEANO
Lugares;SAGRADA FAMILIA DE BARCELONA
Tecnología;ORDENADOR PORTATIL
Películas;EL PADRINO
Comida;GAZPACHO ANDALUZ
Música;PIANO DE COLA
Deportes;TENIS DE MESA
Profesiones;ARQUITECTO DE EDIFICIOS
Naturaleza;BOSQUE TROPICAL
Países;REINO DE ESPAÑA
Refranes;MAS VALE TARDE QUE NUNCA
Animales;OSO PARDO
Lugares;ESTATUA DE LA LIBERTAD
Películas;TITANIC
Comida;ARROZ CON LECHE
Música;BATERIA DE ROCK
Deportes;VOLEIBOL DE PLAYA
Profesiones;PILOTO DE AVION
Tecnología;TELEFONO INTELIGENTE
Naturaleza;RIO AMAZONAS
Refranes;A QUIEN MADRUGA DIOS LE AYUDA
Animales;TIGRE DE BENGALA
Lugares;COLISEO ROMANO
Películas;MATRIX
Comida;CHOCOLATE CON CHURROS
Música;VIOLIN CLASICO
Deportes;CICLISMO DE MONTAÑA
Profesiones;CHEF DE COCINA
Países;REPUBLICA FRANCESA
Naturaleza;DESIERTO DEL SAHARA
Refranes;EN BOCA CERRADA NO ENTRAN MOSCAS
Animales;AGUILA REAL
Lugares;GRAN MURALLA CHINA
Películas;JURASSIC PARK
Comida;CROQUETAS DE JAMON
Música;SAXOFON DE JAZZ
Deportes;ATLETISMO EN PISTA
Profesiones;BOMBERO VOLUNTARIO
Tecnología;CONSOLA DE VIDEOJUEGOS
Naturaleza;OCEANO PACIFICO
Refranes;CAMARAS QUE OS VEAN CORAZONES QUE NO SE SIENTEN
Animales;PANDA GIGANTE
Lugares;MACHU PICCHU
Películas;HARRY POTTER Y LA PIEDRA FILOSOFAL
Comida;FABADA ASTURIANA
